State,Country,County Name,Full County Name,Cases
Diamond Princess (repatriated),USA,2020-03-02,"2020-03-02, Diamond Princess (repatriated)",170000
Washington,USA,  King,"King, Washington",270
Washington,USA, Snohomish,"Snohomish, Washington",108
Washington,USA, Pierce,"Pierce, Washington",17
Washington,USA, Kittitas,"Kittitas, Washington",3
Washington,USA, Island,"Island, Washington",3
Washington,USA, Kitsap,"Kitsap, Washington",2
Washington,USA, Skagit,"Skagit, Washington",2
Washington,USA, Grant,"Grant, Washington",1
Washington,USA, Jefferson,"Jefferson, Washington",1
Washington,USA, Clark,"Clark, Washington",1
Washington,USA, Whatcom,"Whatcom, Washington",1
Washington,USA, Thurston,"Thurston, Washington",1
Washington,USA, Grays Harbor,"Grays Harbor, Washington",1
Washington,USA, unknown,"unknown, Washington",36
New York,USA, Westchester,"Westchester, New York",158
New York,USA, NYC,"NYC, New York",154
New York,USA, Nassau,"Nassau, New York",41
New York,USA, Suffolk,"Suffolk, New York",28
New York,USA, Rockland,"Rockland, New York",7
New York,USA, Ulster,"Ulster, New York",4
New York,USA, Saratoga,"Saratoga, New York",3
New York,USA, Albany,"Albany, New York",4
New York,USA, Monroe,"Monroe, New York",1
New York,USA, Orange,"Orange, New York",1
New York,USA, Delaware,"Delaware, New York",1
New York,USA, Dutchess,"Dutchess, New York",1
New York,USA, Herkimer,"Herkimer, New York",1
California,USA,  Santa Clara,"Santa Clara, California",79
California,USA, Los Angeles,"Los Angeles, California",32
California,USA, San Mateo,"San Mateo, California",20
California,USA, San Francisco,"San Francisco, California",24
California,USA, Sacramento,"Sacramento, California",17
California,USA, Contra Costa,"Contra Costa, California",25
California,USA, Placer,"Placer, California",4
California,USA, Riverside,"Riverside, California",8
California,USA, Alameda,"Alameda, California",7
California,USA, Santa Cruz,"Santa Cruz, California",7
California,USA, San Diego,"San Diego, California",7
California,USA, Orange,"Orange, California",6
California,USA, Solano,"Solano, California",6
California,USA, Sonoma,"Sonoma, California",3
California,USA, Marin,"Marin, California",3
California,USA, San Joaquin,"San Joaquin, California",2
California,USA, San Benito,"San Benito, California",2
California,USA, Ventura,"Ventura, California",2
California,USA, Fresno,"Fresno, California",2
California,USA, Calaveras,"Calaveras, California",2
California,USA, Stanislaus,"Stanislaus, California",2
California,USA, Imperial,"Imperial, California",2
California,USA, Humboldt,"Humboldt, California",1
California,USA, Yolo,"Yolo, California",1
California,USA, Madera,"Madera, California",1
California,USA, Shasta,"Shasta, California",1
California,USA, Tulare,"Tulare, California",1
Massachusetts,USA,  Middlesex,"Middlesex, Massachusetts",49
Massachusetts,USA, Norfolk,"Norfolk, Massachusetts",24
Massachusetts,USA, Suffolk,"Suffolk, Massachusetts",22
Massachusetts,USA, Berkshire,"Berkshire, Massachusetts",9
Massachusetts,USA, Essex,"Essex, Massachusetts",2
Massachusetts,USA, Worcester,"Worcester, Massachusetts",1
Massachusetts,USA, unknown,"unknown, Massachusetts",1
Colorado,USA,  Eagle,"Eagle, Colorado",11
Colorado,USA, Pitkin,"Pitkin, Colorado",10
Colorado,USA, Denver,"Denver, Colorado",10
Colorado,USA, Jefferson,"Jefferson, Colorado",4
Colorado,USA, Douglas,"Douglas, Colorado",3
Colorado,USA, Arapahoe,"Arapahoe, Colorado",3
Colorado,USA, Gunnison,"Gunnison, Colorado",3
Colorado,USA, Adams,"Adams, Colorado",2
Colorado,USA, Summit,"Summit, Colorado",1
Colorado,USA, El Paso,"El Paso, Colorado",1
Colorado,USA, Larimer,"Larimer, Colorado",1
Colorado,USA, Boulder,"Boulder, Colorado",1
Colorado,USA, unknown,"unknown, Colorado",22
Florida,USA,  Broward,"Broward, Florida",12
Florida,USA, Lee,"Lee, Florida",4
Florida,USA, Hillsborough,"Hillsborough, Florida",3
Florida,USA, Volusia,"Volusia, Florida",3
Florida,USA, Collier,"Collier, Florida",3
Florida,USA, Manatee,"Manatee, Florida",2
Florida,USA, Alachua,"Alachua, Florida",2
Florida,USA,Pinellas,"Pinellas, Florida",2
Florida,USA, Sarasota,"Sarasota, Florida",2
Florida,USA, Palm Beach,"Palm Beach, Florida",2
Florida,USA, Santa Rosa,"Santa Rosa, Florida",1
Florida,USA, Charlotte,"Charlotte, Florida",1
Florida,USA, Okaloosa,"Okaloosa, Florida",1
Florida,USA, Nassau,"Nassau, Florida",1
Florida,USA, Pasco,"Pasco, Florida",1
Florida,USA, Miami-Dade,"Miami-Dade, Florida",1
Florida,USA, St. Johns,"St. Johns, Florida",1
Florida,USA, Seminole,"Seminole, Florida",1
Florida,USA, Duval,"Duval, Florida",1
Florida,USA, Clay,"Clay, Florida",1
Florida,USA, unknown,"unknown, Florida",5
New Jersey,USA,  Bergen,"Bergen, New Jersey",13
New Jersey,USA, Monmouth,"Monmouth, New Jersey",5
New Jersey,USA, Burlington,"Burlington, New Jersey",2
New Jersey,USA, Middlesex,"Middlesex, New Jersey",4
New Jersey,USA, Camden,"Camden, New Jersey",1
New Jersey,USA, Hudson,"Hudson, New Jersey",3
New Jersey,USA, Passaic,"Passaic, New Jersey",1
New Jersey,USA, Union,"Union, New Jersey",1
New Jersey,USA, Essex,"Essex, New Jersey",1
