State,Country,County_Name,Full_County_Name,Cases,Update_Time,UVA_URL,Harvard_URL
USA (Aggregate Recovered),USA,2020-03-25,"2020-03-25, USA (Aggregate Recovered)",180000,2020-03-25 18:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
New York,USA,  New York,"New York, New York",17856,2020-03-25 19:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
New York,USA, Westchester,"Westchester, New York",4691,2020-03-25 19:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
New York,USA, Nassau,"Nassau, New York",3285,2020-03-25 19:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
New York,USA, Suffolk,"Suffolk, New York",2260,2020-03-25 19:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
New York,USA, Rockland,"Rockland, New York",968,2020-03-25 19:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
New York,USA, Orange,"Orange, New York",638,2020-03-25 19:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
New York,USA, Dutchess,"Dutchess, New York",153,2020-03-25 19:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
New York,USA, Albany,"Albany, New York",152,2020-03-25 19:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
New York,USA, Erie,"Erie, New York",122,2020-03-25 19:00:00,https://nssac.bii.virginia.edu/covid-19/dashboard/data/nssac-ncov-sd-03-25-2020.csv,https://docs.google.com/spreadsheets/d/1itaohdPiAeniCXNlntNztZ_oRvjh0HsGuJXUJWET008
